"Bulletin","Class_of_antibiotics","Antibiotic","Isolated","Resistance","95_IC_low","95_IC_upper"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Penicilline","Ampicillina",2517,"99.6","99.3","99.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Penicilline","Amoxicillina-Acido Clavulanico",5227,"56.2","54.8","57.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Penicilline","Piperacillina-Tazobactam",5751,"45.6","44.3","46.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Cefalosporine III generazione","Cefotaxime",5225,"52.5","51.2","53.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Cefalosporine III generazione","Ceftazidime",5786,"52.2","50.1","53.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Carbapenemi","Imipenem",4237,"24.4","23.1","25.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Carbapenemi","Meropenem",5634,"26.3","25.2","27.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Carbapenemi","Ertapenem",4634,"31.3","29.9","32.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Aminoglicosidi","Amikacina",5628,"14.0","13.1","14.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Aminoglicosidi","Gentamicina",5694,"27.0","25.8","28.1"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Fluorochinoloni","Ciprofloxacina",5731,"52.5","51.2","53.8"
