"Bulletin","Class_of_antibiotics","Antibiotic","Isolated","Resistance","95_IC_low","95_IC_upper"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Meticillina","Oxacillina/Cefoxitina",10923,"33.5","32.6","34.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Macrolidi","Eritromicina",10149,"38.9","38.0","39.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Lincosamidi","Clindamicina",9627,"34.4","33.5","35.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Aminoglicosidi","Gentamicina",9192,"12.3","11.6","13.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Fluorochinoloni","Levofloxacina",8798,"31.5","30.6","32.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Glicopeptidi","Vancomicina",10735,"0.5","0.4","0.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Glicopeptidi","Teicoplanina",10190,"2.7","2.4","3.1"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Ossazolidinioni","Linezolid",10118,"0.4","0.3","0.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Lipopeptidi","Daptomicina",10203,"0.8","0.7","1.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Glicilcicline","Tigeciclina",8051,"0.5","0.4","0.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Rifamicine","Rifampicina",8907,"4.4","4.0","4.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Tetracicline","Tetraciclina",9034,"6.0","5.5","6.5"
