"Bulletin","Class_of_antibiotics","Antibiotic","Isolated","Resistance","95_IC_low","95_IC_upper"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Penicilline","Piperacillina-Tazobactam",4536,"23.4","22.2","24.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Cefalosporine III/IV generazione","Ceftazidime",4573,"19.1","17.9","20.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Cefalosporine III/IV generazione","Cefepime",4514,"17.3","16.2","18.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Cefalosporine III/IV generazione","Ceftazidime/Avibactam",2259,"7.2","6.2","8.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Cefalosporine III/IV generazione","Ceftolozano/Tazobactam",2265,"5.0","4.2","6.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Carbapenemi","Imipenem",3529,"19.4","18.1","20.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Carbapenemi","Meropenem",4591,"10.1","9.3","11.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Aminoglicosidi","Amikacina",4492,"3.6","3.0","4.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Aminoglicosidi","Gentamicina",1166,"11.6","9.8","13.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Fluorochinoloni","Ciprofloxacina",4555,"16.6","15.6","17.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Fluorochinoloni","Levofloxacina",756,"28.4","25.3","31.8"
