"Bulletin","Class_of_antibiotics","Antibiotic","Isolated","Resistance","95_IC_low","95_IC_upper"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Penicilline","Amoxicillina-Acido Clavulanico",10497,"54.4","53.4","55.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Penicilline","Piperacillina-Tazobactam",11342,"46.3","45.3","47.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Cefalosporine III/IV generazione","Cefotaxime",8947,"49.8","48.8","50.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Cefalosporine III/IV generazione","Ceftazidime",11458,"51.3","50.4","52.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Cefalosporine III/IV generazione","Ceftriaxone",2094,"61.4","59.3","63.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Cefalosporine III/IV generazione","Ceftazidime-Avibactam",7088,"6.9","6.3","7.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Cefalosporine III/IV generazione","Cefepime",11229,"47.8","46.8","48.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Carbapenemi","Imipenem",8227,"27.6","26.6","28.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Carbapenemi","Meropenem",10915,"23.5","22.7","24.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Carbapenemi","Ertapenem",6682,"27.9","26.8","29.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Aminoglicosidi","Amikacina",10820,"12.8","12.1","13.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Aminoglicosidi","Gentamicina",11498,"28.4","27.6","29.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Fluorochinoloni","Ciprofloxacina",11484,"48.4","47.5","49.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Fluorochinoloni","Levofloxacina",3281,"51.4","49.7","53.1"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Altro","Fosfomicina i.v.",4035,"30.8","29.4","32.3"
