"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Microorganism","Antibiotic","Resistance"
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Acinetobacter spp.","Aminoglycosides",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Acinetobacter spp.","Carbapenems",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Acinetobacter spp.","Combined resistance (Carb + Fluo + Aminog)",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Acinetobacter spp.","Fluoroquinolones",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Enterococcus faecalis","High-level gentamicin",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Enterococcus faecium","Vancomycin",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Escherichia coli","Aminoglycosides",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Escherichia coli","Aminopenicillins",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Escherichia coli","Carbapenems",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Escherichia coli","Combined resistance (3GCeph + Fluo + Aminog)",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Escherichia coli","Fluoroquinolones",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Escherichia coli","Third-generation cephalosporins",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Klebsiella pneumoniae","Aminoglycosides",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Klebsiella pneumoniae","Carbapenems",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Klebsiella pneumoniae","Combined resistance (3GCeph + Fluo + Aminog)",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Klebsiella pneumoniae","Fluoroquinolones",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Klebsiella pneumoniae","Third-generation cephalosporins",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Pseudomonas aeruginosa","Aminoglycosides",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Pseudomonas aeruginosa","Carbapenems",NA
2012,"Russian Federation","RUS",643,55.751244,37.618423,"Pseudomonas aeruginosa","Ceftazidime",NA
