"Bulletin","Class_of_antibiotics","Antibiotic","Isolated","Resistance","95_IC_low","95_IC_upper"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Penicilline","Amoxicillina-Acido Clavulanico",8319,"54.2","53.1","55.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Penicilline","Piperacillina-Tazobactam",8818,"44.8","43.7","45.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Cefalosporine III/IV generazione","Cefotaxime",6985,"50.2","49.1","51.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Cefalosporine III/IV generazione","Ceftazidime",8973,"51.0","50.0","52.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Cefalosporine III/IV generazione","Ceftrixone",1523,"63.0","60.5","65.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Cefalosporine III/IV generazione","Ceftazidime-Avibactam",4990,"8.2","7.5","9.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Cefalosporine III/IV generazione","Cefepime",7346,"51.3","50.2","52.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Carbapenemi","Imipenem",6108,"30.7","29.5","31.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Carbapenemi","Meropenem",8507,"25.2","24.3","26.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Carbapenemi","Ertapenem",5142,"27.5","26.2","28.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Aminoglicosidi","Amikacina",8469,"16.7","15.9","17.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Aminoglicosidi","Gentamicina",8842,"30.2","29.3","31.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Fluorochinoloni","Ciprofloxacina",8858,"49.6","48.5","50.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Fluorochinoloni","Levofloxacina",2040,"50.3","48.1","52.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Altro","Fosfomicina i.v.",2000,"32.9","30.8","35.0"
