"Bulletin","Class_of_antibiotics","Antibiotic","Isolated","Resistance","95_IC_low","95_IC_upper"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Penicilline antistafilococciche","Oxacillina/Cefoxitina",14083,"29.9","29.10","30.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Macrolidi","Eritromicina",14164,"36.1","35.3","36.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Lincosamidi","Clindamicina",13826,"32.4","31.6","33.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Aminoglicosidi","Gentamicina",14141,"11.3","10.8","11.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Fluorochinoloni","Levofloxacina",13047,"27.1","26.4","27.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Glicopeptidi","Vancomicina",13936,"0.4","0.3","0.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Glicopeptidi","Teicoplanina",13539,"2.3","2.1","2.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Ossazolidinoni","Linezolid",13141,"0.4","0.3","0.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Lipopeptidi","Daptomicina",13350,"1.0","0.9","1.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Glicilcicline","Tigeciclina",10870,"0.5","0.4","0.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Rifamicine","Rifampicina",11344,"4.5","4.1","4.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Tetracicline","Tetraciclina",11792,"6.3","5.9","6.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Sulfamidici","Cotrimossazolo",10834,"2.6","2.3","2.9"
