"Bulletin","Class_of_antibiotics","Antibiotic","Isolated","Resistance","95_IC_low","95_IC_upper"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Penicilline","Penicillina",4770,"83.7","82.6","84.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Meticillina","Oxacillina/Cefoxitina",9682,"34.3","33.4","35.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Macrolidi","Eritromicina",8788,"36.0","35.0","37.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Lincosamidi","Clindamicina",7987,"31.2","30.2","32.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Aminoglicosidi","Gentamicina",8149,"11.3","10.6","12.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Fluorochinoloni","Levofloxacina",7754,"34.4","33.3","35.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Glicopeptidi","Vancomicina",9420,"0.3","0.2","0.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Glicopeptidi","Teicoplanina",8777,"2.5","2.2","2.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Ossazolidinioni","Linezolid",9166,"0.3","0.2","0.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Lipopeptidi","Daptomicina",8784,"0.9","0.7","1.1"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Glicilcicline","Tigeciclina",7224,"0.5","0.3","0.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Rifamicine","Rifampicina",6595,"5.6","5.0","6.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Tetracicline","Tetraciclina",7255,"6.3","5.7","6.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Sulfamidici","Cotrimossazolo",8895,"2.6","2.3","2.9"
