"Bulletin","Class_of_antibiotics","Antibiotic","Isolated","Resistance","95_IC_low","95_IC_upper"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Penicilline","Ampicillina",5521,58.9,57.6,60.2
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Penicilline","Amoxicillina-Acido Clavulanico",20128,39.7,39,40.3
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Penicilline","Piperacillina-Tazobactam",20809,8.2,7.8,8.6
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Cefalosporine III/IV generazione","Cefotaxime",17122,23.3,22.7,24
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Cefalosporine III/IV generazione","Ceftazidime",20774,19,18.5,19.6
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Cefalosporine III/IV generazione","Ceftriaxone",2529,24.6,22.9,26.3
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Cefalosporine III/IV generazione","Ceftazidime-Avibactam",7562,0.8,0.6,1
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Cefalosporine III/IV generazione","Cefepime",16225,18.2,17.7,18.9
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Carbapenemi","Imipenem",12307,0.5,0.4,0.6
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Carbapenemi","Meropenem",19556,0.3,0.2,0.4
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Carbapenemi","Ertapenem",13399,0.8,0.6,0.9
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Aminoglicosidi","Amikacina",20382,1.9,1.7,2.1
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Aminoglicosidi","Gentamicina",20640,13.2,12.8,13.7
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Fluorochinoloni","Ciprofloxacina",20539,32.5,31.8,33.1
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Fluorochinoloni","Levofloxacina",4386,29.5,28.1,30.9
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Glicilcicline","Tigeciclina",9639,3.9,3.5,4.3
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2021.pdf","Altro","Fosfomicina i.v.",5502,2.6,2.2,3.1
