"DOI","Author","PubDate","ISO3","YCoord","XCoord","PlaceName","LocationType","StartDate","EndDate","Species","HistoryAMU","SampleOrigin","HealthStatus","Method","Pathogen","Strain","Nsamples","Prev","NIsolates","Drug","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark"
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"PEN","AMP","J01CA01",100,"10","CLSI 2005 M100–S15",NA,"Does not specity spp. other than ""shellfish"""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"PEN","AMX","J01CA04",100,"10","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"PEN","AMC","J01CR02",50,"30","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"CEP","CFL","J01DB03",50,"30","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"AMP","CHL","J01BA01",50,"30","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"QUI","CIP","J01MA02",0,"5","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"QUI","ENR","QJ01MA90",0,"5","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"TET","TET","J01AA07",100,"30","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"AMI","GEN","J01GB03",50,"10","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"AMI","KAN","J01GB04",0,"30","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"QUI","NAL","J01MB02",100,"30","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"QUI","NOR","J01MA06",0,"10","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"SUL","SSS","J01E",100,"300","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"AMI","STR","J01GA01",100,"10","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","E. coli",NA,50,90,2,"SUL","TMP","J01EA01",100,"5","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","Salmonella","Typhimurium",50,18,1,"PEN","AMP","J01CA01",0,"10","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","Salmonella","Typhimurium",50,18,1,"PEN","AMX","J01CA04",0,"10","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","Salmonella","Typhimurium",50,18,1,"PEN","AMC","J01CR02",0,"30","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","Salmonella","Typhimurium",50,18,1,"CEP","CFL","J01DB03",0,"30","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","Salmonella","Typhimurium",50,18,1,"AMP","CHL","J01BA01",0,"30","CLSI 2005 M100–S15",NA,""
"10.1128/AEM.00973-07","Van TTH","2007","VNM",10.803866,106.634124,"Ho Chi Minh City","Post harvest","15.02.04","15.06.04","Shrimp",NA,"Product","Healthy","DD","Salmonella","Typhimurium",50,18,1,"QUI","CIP","J01MA02",0,"5","CLSI 2005 M100–S15",NA,""
