"Bulletin","Class_of_antibiotics","Antibiotic","Isolated","Resistance","95_IC_low","95_IC_upper"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Penicilline","Amoxicillina-Acido Clavulanico",6715,"60.0","58.9","61.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Penicilline","Piperacillina-Tazobactam",7541,"47.8","46.7","48.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Cefalosporine III generazione","Cefotaxime",6755,"55.5","54.3","56.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Cefalosporine III generazione","Ceftazidime",7654,"55.5","54.4","56.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Cefalosporine III generazione","Ceftrixone",593,"63.6","59.6","67.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Cefalosporine III generazione","Ceftazidime-Avibactam",1189,"3.8","2.8","5.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Carbapenemi","Imipenem",3122,"27.8","26.2","29.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Carbapenemi","Meropenem",7314,"27.7","26.7","28.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Carbapenemi","Ertapenem",6461,"34.7","33.6","35.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Aminoglicosidi","Amikacina",7609,"16.7","15.9","17.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Aminoglicosidi","Gentamicina",7679,"32.6","31.5","33.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Fluorochinoloni","Ciprofloxacina",7667,"54.8","53.6","55.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Fluorochinoloni","Levofloxacina",1537,"59.1","56.6","61.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Glicilcicline","Tigeciclina",3020,"18.0","16.6","19.4"
