"Bulletin","Class_of_antibiotics","Antibiotic","Isolated","Resistance","95_IC_low","95_IC_upper"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Penicilline","Ampicillina",4456,"68.1","66.7","69.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Penicilline","Amoxicillina-Acido Clavulanico",17402,"46.5","45.6","47.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Penicilline","Piperacillina-Tazobactam",18121,"9.4","9.0","9.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Cefalosporine III generazione","Cefotaxime",16459,"29.9","29.2","30.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Cefalosporine III generazione","Ceftazidime",18266,"25.8","25.1","26.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Cefalosporine III generazione","Ceftriaxone",1193,"33.6","30.9","36.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Cefalosporine III generazione","Ceftazidime-Avibactam",1519,"0.5","0.2","1.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Carbapenemi","Imipenem",6827,"0.5","0.3","0.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Carbapenemi","Meropenem",17994,"0.3","0.2","0.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Carbapenemi","Ertapenem",15055,"1.1","0.9","1.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Aminoglicosidi","Amikacina",18226,"0.8","0.7","1.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Aminoglicosidi","Gentamicina",18384,"15.9","15.4","16.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Fluorochinoloni","Ciprofloxacina",18393,"40.6","39.9","41.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Fluorochinoloni","Levofloxacina",3400,"41.3","39.6","42.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf","Glicilcicline","Tigeciclina",13990,"1.5","1.3","1.7"
