"Bulletin","Class_of_antibiotics","Antibiotic","Isolated","Resistance","95_IC_low","95_IC_upper"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Penicilline","Ampicillina",7592,"61.6","60.5","62.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Penicilline","Amoxicillina-Acido Clavulanico",23719,"38.0","37.4","38.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Penicilline","Piperacillina-Tazobactam",25085,"8.5","8.2","8.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Cefalosporine III/IV generazione","Cefotaxime",21067,"23.7","23.2","24.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Cefalosporine III/IV generazione","Ceftazidime",25066,"19.6","19.1","20.1"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Cefalosporine III/IV generazione","Ceftriaxone",3526,"26.4","25.0","27.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Cefalosporine III/IV generazione","Ceftazidime-Avibactam",11150,"0.7","0.5","0.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Cefalosporine III/IV generazione","Cefepime",24390,"18.2","17.7","18.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Carbapenemi","Imipenem",16342,"0.3","0.2","0.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Carbapenemi","Meropenem",23663,"0.2","0.2","0.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Carbapenemi","Ertapenem",15668,"0.9","0.7","1.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Aminoglicosidi","Amikacina",24944,"1.5","1.3","1.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Aminoglicosidi","Gentamicina",25351,"12.6","12.2","13.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Fluorochinoloni","Ciprofloxacina",25286,"31.5","30.9","32.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Fluorochinoloni","Levofloxacina",6772,"30.8","29.7","31.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Glicilcicline","Tigeciclina",8762,"14.7","14.0","15.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Altro","Fosfomicina i.v.",11601,"2.2","2.0","2.5"
