"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Microorganism","Antibiotic","Resistance"
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Acinetobacter spp.","Aminoglycosides",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Acinetobacter spp.","Carbapenems",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Acinetobacter spp.","Combined resistance (Carb + Fluo + Aminog)",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Acinetobacter spp.","Fluoroquinolones",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Enterococcus faecalis","High-level gentamicin",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Enterococcus faecium","Vancomycin",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Escherichia coli","Aminoglycosides",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Escherichia coli","Aminopenicillins",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Escherichia coli","Carbapenems",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Escherichia coli","Combined resistance (3GCeph + Fluo + Aminog)",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Escherichia coli","Fluoroquinolones",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Escherichia coli","Third-generation cephalosporins",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Klebsiella pneumoniae","Aminoglycosides",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Klebsiella pneumoniae","Carbapenems",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Klebsiella pneumoniae","Combined resistance (3GCeph + Fluo + Aminog)",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Klebsiella pneumoniae","Fluoroquinolones",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Klebsiella pneumoniae","Third-generation cephalosporins",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Pseudomonas aeruginosa","Aminoglycosides",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Pseudomonas aeruginosa","Carbapenems",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Pseudomonas aeruginosa","Ceftazidime",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Pseudomonas aeruginosa","Combined resistance (at least 3 among Pip-Tazo, Cefta, Carb, Fluo, Aminog)",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Pseudomonas aeruginosa","Fluoroquinolones",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Pseudomonas aeruginosa","Piperacillin-Tazobactam",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Staphylococcus aureus","MRSA",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Streptococcus pneumoniae","Combined penicillins (non-wild-type) and macrolides",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Streptococcus pneumoniae","Macrolides",NA
2012,"Serbia","SRB",688,44.1050751,15.8991652,"Streptococcus pneumoniae","Penicillins (non-wild-type)",NA
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Acinetobacter spp.","Aminoglycosides","90.79"
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Acinetobacter spp.","Carbapenems","92.6"
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Acinetobacter spp.","Combined resistance (Carb + Fluo + Aminog)","83.61"
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Acinetobacter spp.","Fluoroquinolones","91.19"
